Wall time,Step,Value
1684805590.1237333,0,78.8606948852539
1684805659.9075127,1,85.91893005371094
1684805727.8263297,2,85.98168182373047
1684805796.8722224,3,86.4543228149414
1684805865.1066213,4,86.98094177246094
1684805934.3688426,5,88.56910705566406
1684806003.4549181,6,87.34944152832031
1684806072.3035202,7,89.80337524414062
1684806140.50705,8,90.1953353881836
1684806208.4736354,9,90.1755599975586
1684806276.496762,10,91.21573638916016
1684806344.9748476,11,90.55874633789062
1684806413.538715,12,91.98876953125
1684806482.8018572,13,90.85427856445312
1684806553.8206532,14,91.98280334472656
1684806623.3954463,15,92.13720703125
1684806692.6304386,16,92.61418914794922
1684806760.3071985,17,92.09587860107422
1684806828.3022313,18,92.45832061767578
1684806896.897965,19,92.00501251220703
1684806965.3481143,20,93.17029571533203
1684807034.6804328,21,93.38046264648438
1684807103.400724,22,92.89103698730469
1684807171.624347,23,92.98860168457031
1684807239.7387078,24,93.38082885742188
1684807308.5873833,25,92.43984985351562
1684807378.4169075,26,93.18744659423828
1684807448.0982137,27,93.259033203125
1684807516.2959862,28,92.95948028564453
1684807583.8449743,29,93.15911865234375
1684807650.796989,30,95.14170837402344
1684807717.9886613,31,94.34153747558594
1684807785.7220302,32,94.88246154785156
1684807855.3746827,33,94.98400115966797
1684807925.1312397,34,94.74080657958984
1684807994.3957493,35,94.99090576171875
1684808064.0280726,36,94.93779754638672
1684808133.2319992,37,94.92704010009766
1684808202.1406553,38,94.82955169677734
1684808271.5140388,39,94.77021789550781
1684808340.5685623,40,96.23918914794922
1684808407.6440668,41,96.23583221435547
1684808474.726931,42,96.10160827636719
1684808543.0286407,43,96.06809997558594
1684808610.923126,44,96.04975891113281
1684808677.2527103,45,95.83727264404297
1684808743.237546,46,95.90226745605469
1684808809.4038656,47,95.71068572998047
1684808875.3823233,48,95.62208557128906
1684808941.399116,49,95.71475219726562
1684809007.3403897,50,96.66694641113281
1684809073.148788,51,96.79891204833984
1684809138.9063778,52,96.60578155517578
1684809206.1438222,53,96.68789672851562
1684809272.074233,54,96.54401397705078
1684809338.0444386,55,96.54244995117188
1684809403.812193,56,96.39921569824219
1684809470.0186758,57,96.55574798583984
1684809536.1839771,58,96.0009994506836
1684809602.1786938,59,96.25444030761719
1684809667.7428796,60,97.18910217285156
1684809733.3254294,61,97.15745544433594
1684809799.6921682,62,97.14002990722656
1684809866.5089326,63,96.97709655761719
1684809933.186783,64,96.78935241699219
1684810001.3183124,65,96.977294921875
1684810071.425874,66,96.84588623046875
1684810142.232341,67,96.82425689697266
1684810212.1638517,68,96.8826675415039
1684810281.656649,69,96.72830963134766
1684810353.3211648,70,97.3436508178711
1684810424.5805483,71,97.1998062133789
1684810496.7753344,72,97.176513671875
1684810566.9366589,73,97.16650390625
1684810633.8466465,74,97.09928894042969
1684810699.4689438,75,97.07618713378906
1684810765.404319,76,97.14922332763672
1684810830.7646978,77,97.1244888305664
1684810896.372303,78,96.84234619140625
1684810961.935967,79,96.9769058227539
1684811027.716715,80,97.41193389892578
1684811093.3337896,81,97.50656127929688
1684811158.6994731,82,97.42550659179688
1684811224.2682526,83,97.34552001953125
1684811289.6669638,84,97.19773864746094
1684811355.232667,85,97.27144622802734
1684811420.608079,86,97.15544128417969
1684811486.1955926,87,97.12745666503906
1684811551.5686853,88,97.0974349975586
1684811617.1526983,89,97.14617919921875
1684811682.7446315,90,97.53795623779297
1684811748.114314,91,96.40278625488281
1684811813.8883462,92,97.45619201660156
1684811879.4767203,93,97.37603759765625
1684811944.8389697,94,97.3476791381836
1684812010.4300807,95,97.3751220703125
1684812076.0001142,96,97.34927368164062
1684812141.4020846,97,97.3155517578125
1684812206.9640033,98,97.27335357666016
1684812272.7694223,99,97.20622253417969
