Wall time,Step,Value
1684805590.124733,0,94.15279388427734
1684805659.908518,1,96.47168731689453
1684805727.8263297,2,96.45523071289062
1684805796.8732297,3,96.58547973632812
1684805865.1076307,4,96.73637390136719
1684805934.3688426,5,97.24445343017578
1684806003.4549181,6,96.84220886230469
1684806072.3035202,7,97.59064483642578
1684806140.5080495,8,97.67236328125
1684806208.4736354,9,97.66390991210938
1684806276.496762,10,97.86317443847656
1684806344.9748476,11,97.66429138183594
1684806413.538715,12,98.08557891845703
1684806482.8018572,13,97.80074310302734
1684806553.8206532,14,98.10778045654297
1684806623.3954463,15,98.15269470214844
1684806692.6304386,16,98.2894058227539
1684806760.3081913,17,98.13966369628906
1684806828.3022313,18,98.25518798828125
1684806896.897965,19,98.1347885131836
1684806965.3481143,20,98.28927612304688
1684807034.6814318,21,98.3857421875
1684807103.400724,22,98.30998229980469
1684807171.624347,23,98.28782653808594
1684807239.7387078,24,98.3872299194336
1684807308.5883808,25,98.20045471191406
1684807378.4169075,26,98.38172149658203
1684807448.0982137,27,98.38259887695312
1684807516.2959862,28,98.32862854003906
1684807583.8459868,29,98.34197998046875
1684807650.79799,30,98.82638549804688
1684807717.9886613,31,98.64688110351562
1684807785.7230296,32,98.76622772216797
1684807855.3746827,33,98.8308334350586
1684807925.1312397,34,98.76358032226562
1684807994.3957493,35,98.81118774414062
1684808064.0280726,36,98.77887725830078
1684808133.2319992,37,98.78538513183594
1684808202.1406553,38,98.74734497070312
1684808271.5140388,39,98.75740051269531
1684808340.5685623,40,99.11123657226562
1684808407.6440668,41,99.10377502441406
1684808474.726931,42,99.07947540283203
1684808543.0286407,43,99.06144714355469
1684808610.9241314,44,99.06571197509766
1684808677.2527103,45,99.0144271850586
1684808743.237546,46,99.02156829833984
1684808809.4038656,47,98.98271179199219
1684808875.3833241,48,98.9656982421875
1684808941.399116,49,98.98625183105469
1684809007.3403897,50,99.22459411621094
1684809073.148788,51,99.25920104980469
1684809138.9073794,52,99.22532653808594
1684809206.1438222,53,99.23968505859375
1684809272.074233,54,99.20442962646484
1684809338.0444386,55,99.2038803100586
1684809403.812193,56,99.1773681640625
1684809470.0196764,57,99.20423889160156
1684809536.184985,58,99.093505859375
1684809602.1786938,59,99.13865661621094
1684809667.74394,60,99.3072280883789
1684809733.3264315,61,99.30085754394531
1684809799.6921682,62,99.28688049316406
1684809866.509933,63,99.25889587402344
1684809933.186783,64,99.21139526367188
1684810001.3193855,65,99.25434875488281
1684810071.425874,66,99.2220458984375
1684810142.2333324,67,99.2099838256836
1684810212.1648507,68,99.22979736328125
1684810281.656649,69,99.19709014892578
1684810353.3211648,70,99.38287353515625
1684810424.5805483,71,99.34330749511719
1684810496.7763345,72,99.33369445800781
1684810566.9366589,73,99.34331512451172
1684810633.8476462,74,99.32363891601562
1684810699.4689438,75,99.3241195678711
1684810765.404319,76,99.33244323730469
1684810830.7646978,77,99.32624816894531
1684810896.372303,78,99.265869140625
1684810961.9369721,79,99.29885864257812
1684811027.716715,80,99.38909149169922
1684811093.3337896,81,99.40786743164062
1684811158.6994731,82,99.38519287109375
1684811224.2692573,83,99.37113189697266
1684811289.6679711,84,99.33396911621094
1684811355.232667,85,99.35030364990234
1684811420.608079,86,99.32457733154297
1684811486.1955926,87,99.31875610351562
1684811551.5686853,88,99.31321716308594
1684811617.1526983,89,99.31890106201172
1684811682.7446315,90,99.448974609375
1684811748.114314,91,99.18418884277344
1684811813.8883462,92,99.42771911621094
1684811879.4767203,93,99.41555786132812
1684811944.839971,94,99.40477752685547
1684812010.4300807,95,99.4139404296875
1684812076.0001142,96,99.41064453125
1684812141.4030845,97,99.3952407836914
1684812206.9640033,98,99.39044189453125
1684812272.7694223,99,99.37093353271484
