Wall time,Step,Value
1684805590.124733,0,65.13862609863281
1684805659.908518,1,75.33110046386719
1684805727.8263297,2,75.42121887207031
1684805796.8732297,3,76.15574645996094
1684805865.1076307,4,76.98518371582031
1684805934.3688426,5,79.49729919433594
1684806003.4549181,6,77.56082916259766
1684806072.3035202,7,81.50483703613281
1684806140.5080495,8,82.15502166748047
1684806208.4736354,9,82.11674499511719
1684806276.496762,10,83.85382843017578
1684806344.9748476,11,82.75082397460938
1684806413.538715,12,85.16952514648438
1684806482.8028572,13,83.24739074707031
1684806553.8206532,14,85.15821075439453
1684806623.3954463,15,85.42529296875
1684806692.6304386,16,86.24624633789062
1684806760.3081913,17,85.3548812866211
1684806828.3032386,18,85.97723388671875
1684806896.897965,19,85.20063781738281
1684806965.3481143,20,87.2188720703125
1684807034.6814318,21,87.58809661865234
1684807103.400724,22,86.73445892333984
1684807171.624347,23,86.90292358398438
1684807239.7387078,24,87.587646484375
1684807308.5883808,25,85.95811462402344
1684807378.4179075,26,87.24961853027344
1684807448.099231,27,87.38066864013672
1684807516.2959862,28,86.85202026367188
1684807583.8459868,29,87.19734954833984
1684807650.79799,30,90.73450469970703
1684807717.9886613,31,89.29142761230469
1684807785.7230296,32,90.2648696899414
1684807855.3756735,33,90.45411682128906
1684807925.1312397,34,90.0107421875
1684807994.3957493,35,90.46126556396484
1684808064.0280726,36,90.36514282226562
1684808133.2319992,37,90.34735107421875
1684808202.1406553,38,90.16889953613281
1684808271.5140388,39,90.0631103515625
1684808340.5685623,40,92.75215911865234
1684808407.6440668,41,92.74591827392578
1684808474.7279954,42,92.49723052978516
1684808543.0286407,43,92.43487548828125
1684808610.9241314,44,92.40088653564453
1684808677.2527103,45,92.0091781616211
1684808743.237546,46,92.12830352783203
1684808809.4038656,47,91.7766342163086
1684808875.3833241,48,91.61302947998047
1684808941.399116,49,91.7833480834961
1684809007.3403897,50,93.5491943359375
1684809073.149779,51,93.79674530029297
1684809138.9073794,52,93.43526458740234
1684809206.1438222,53,93.58850860595703
1684809272.075234,54,93.31952667236328
1684809338.0444386,55,93.31666564941406
1684809403.8131945,56,93.04957580566406
1684809470.0196764,57,93.3416748046875
1684809536.184985,58,92.31011962890625
1684809602.1786938,59,92.78026580810547
1684809667.74394,60,94.53227233886719
1684809733.3264315,61,94.47225952148438
1684809799.6931791,62,94.43948364257812
1684809866.509933,63,94.13221740722656
1684809933.1877954,64,93.7787857055664
1684810001.3193855,65,94.13218688964844
1684810071.4268823,66,93.88500213623047
1684810142.2333324,67,93.84467315673828
1684810212.1648507,68,93.95420837402344
1684810281.656649,69,93.66481018066406
1684810353.3211648,70,94.82523345947266
1684810424.5815287,71,94.5531234741211
1684810496.7763345,72,94.50878143310547
1684810566.937658,73,94.48965454101562
1684810633.8476462,74,94.3627700805664
1684810699.4699445,75,94.32028198242188
1684810765.404319,76,94.45723724365234
1684810830.7646978,77,94.41007232666016
1684810896.37331,78,93.87911224365234
1684810961.9369721,79,94.13151550292969
1684811027.716715,80,94.9549331665039
1684811093.3337896,81,95.13478088378906
1684811158.6994731,82,94.98065948486328
1684811224.2692573,83,94.82869720458984
1684811289.6679711,84,94.54900360107422
1684811355.232667,85,94.68843841552734
1684811420.608079,86,94.46897888183594
1684811486.1955926,87,94.41632843017578
1684811551.569685,88,94.35943603515625
1684811617.1536984,89,94.45134735107422
1684811682.7446315,90,95.19454956054688
1684811748.114314,91,93.05658721923828
1684811813.8883462,92,95.03888702392578
1684811879.4767203,93,94.88661193847656
1684811944.839971,94,94.8328628540039
1684812010.4300807,95,94.88495635986328
1684812076.0001142,96,94.83589935302734
1684812141.4030845,97,94.771728515625
1684812206.9650018,98,94.69158172607422
1684812272.7694223,99,94.56482696533203
